current_path	target_path	responsibility	role	decision	rationale
assets/generate_app_icon.py	assets/generate_app_icon.py	resources	Canonical GUI asset, generator or font license/configuration: generate_app_icon.py	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
assets/mbu_sl_laboratory_tile.ico	assets/mbu_sl_laboratory_tile.ico	resources	Canonical GUI asset, generator or font license/configuration: mbu_sl_laboratory_tile.ico	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
assets/mbu_sl_laboratory_tile.svg	assets/mbu_sl_laboratory_tile.svg	resources	Canonical GUI asset, generator or font license/configuration: mbu_sl_laboratory_tile.svg	retain	One source tree; wheel/frozen copies are generated distribution outputs, not second editable sources
build_exe.bat	build_exe.bat	build/release	Authoritative Windows application build and package verification entry	retain	Distinct maintained contract; no relocation benefit
docs/README.md	docs/README.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/README.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/architecture.md	docs/architecture.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/architecture.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/cli.md	docs/cli.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/cli.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/development.md	docs/development.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/development.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
(new)	docs/images/README.md	documentation/example	Current and historical screenshot origin record	add	Records genuine image version, input, capture method and qualification limits
(new)	docs/images/analysis-example-v2.4.6-source.png	documentation/example	Real v2.4.6 English source GUI synthetic example screenshot	add	Adds current visual evidence while retaining historical screenshot
docs/images/analysis-example.png	docs/images/analysis-example.png	documentation/example	Public guide, illustration, license history or synthetic example: docs/images/analysis-example.png	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/license-history/INITIAL_REPOSITORY_MIT_LICENSE.txt	docs/license-history/INITIAL_REPOSITORY_MIT_LICENSE.txt	documentation/example	Public guide, illustration, license history or synthetic example: docs/license-history/INITIAL_REPOSITORY_MIT_LICENSE.txt	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/license-history/README.md	docs/license-history/README.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/license-history/README.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/methods.md	docs/methods.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/methods.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/platforms.md	docs/platforms.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/platforms.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
(new)	docs/quick-start-ru.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/quick-start-ru.md	add	Explicit onboarding or complete inventory obligation; no framework or dependency
(new)	docs/quick-start.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/quick-start.md	add	Explicit onboarding or complete inventory obligation; no framework or dependency
(new)	docs/repository-layout.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/repository-layout.md	add	Explicit onboarding or complete inventory obligation; no framework or dependency
(new)	docs/repository-layout.tsv	documentation/example	Public guide, illustration, license history or synthetic example: docs/repository-layout.tsv	add	Explicit onboarding or complete inventory obligation; no framework or dependency
docs/user-guide.md	docs/user-guide.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/user-guide.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
docs/validation.md	docs/validation.md	documentation/example	Public guide, illustration, license history or synthetic example: docs/validation.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
examples/small-panel/README.md	examples/small-panel/README.md	documentation/example	Public guide, illustration, license history or synthetic example: examples/small-panel/README.md	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
examples/small-panel/bulk.txt	examples/small-panel/bulk.txt	documentation/example	Public guide, illustration, license history or synthetic example: examples/small-panel/bulk.txt	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
examples/small-panel/panel.tsv	examples/small-panel/panel.tsv	documentation/example	Public guide, illustration, license history or synthetic example: examples/small-panel/panel.tsv	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
examples/small-panel/result.tsv	examples/small-panel/result.tsv	documentation/example	Public guide, illustration, license history or synthetic example: examples/small-panel/result.tsv	retain	Preserve existing link paths and historical evidence; update current guidance without relabeling history
external_engines.py	external_engines.py	application	Primer3, RNAstructure and seqfold integration and mandatory engine checks	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
frozen_gui_qualification.py	frozen_gui_qualification.py	application	Frozen Windows GUI qualification harness	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
gui_exports.py	gui_exports.py	application	GUI report and matrix exports	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
gui_results.py	gui_results.py	application	Result view models and presentation helpers	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
gui_styles.py	gui_styles.py	application	Tk styling and font configuration	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
gui_tokens_generated.py	gui_tokens_generated.py	application	Generated UI constants from tokens; retain generated consumer beside root GUI modules	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
headless_geometry.py	headless_geometry.py	application	Display-independent structure geometry shared by CLI and GUI	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
locale_numbers.py	locale_numbers.py	application	Locale-aware numeric input parsing and formatting	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
mbuprime_structlab/__init__.py	mbuprime_structlab/__init__.py	application	Headless public package entry: __init__.py	retain	Preserves python -m and installed console commands; root modules remain shared implementations
mbuprime_structlab/__main__.py	mbuprime_structlab/__main__.py	application	Headless public package entry: __main__.py	retain	Preserves python -m and installed console commands; root modules remain shared implementations
mbuprime_structlab/cli.py	mbuprime_structlab/cli.py	application	Headless public package entry: cli.py	retain	Preserves python -m and installed console commands; root modules remain shared implementations
native/__init__.py	native/__init__.py	native integration	Native build integration: __init__.py	retain	Compiler bridge, build driver and identity generator remain separate from runtime package
native/build_native.ps1	native/build_native.ps1	native integration	Native build integration: build_native.ps1	retain	Compiler bridge, build driver and identity generator remain separate from runtime package
native/generate_native_manifest.py	native/generate_native_manifest.py	native integration	Native build integration: generate_native_manifest.py	retain	Compiler bridge, build driver and identity generator remain separate from runtime package
native/rnastructure_native.cpp	native/rnastructure_native.cpp	native integration	Native build integration: rnastructure_native.cpp	retain	Compiler bridge, build driver and identity generator remain separate from runtime package
native/setup_native.py	native/setup_native.py	native integration	Native build integration: setup_native.py	retain	Compiler bridge, build driver and identity generator remain separate from runtime package
native_target.py	native_target.py	native integration	Target-specific native artifact and platform identity	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
nn_thermo.py	nn_thermo.py	application	Nearest-neighbor thermodynamic calculation helpers	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
packaging/MBUprimeStructLab.spec	packaging/MBUprimeStructLab.spec	build/release	Platform build, release identity or verification component: MBUprimeStructLab.spec	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/MBUprimeStructLabCLI.spec	packaging/MBUprimeStructLabCLI.spec	build/release	Platform build, release identity or verification component: MBUprimeStructLabCLI.spec	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/RELEASE.md	packaging/RELEASE.md	build/release	Platform build, release identity or verification component: RELEASE.md	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/build_cpython_windows.py	packaging/build_cpython_windows.py	build/release	Platform build, release identity or verification component: build_cpython_windows.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/build_linux_cli.sh	packaging/build_linux_cli.sh	build/release	Platform build, release identity or verification component: build_linux_cli.sh	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/cli_bootstrap.py	packaging/cli_bootstrap.py	build/release	Platform build, release identity or verification component: cli_bootstrap.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/cpython_windows_runtime.json	packaging/cpython_windows_runtime.json	build/release	Platform build, release identity or verification component: cpython_windows_runtime.json	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/generate_provenance.py	packaging/generate_provenance.py	build/release	Platform build, release identity or verification component: generate_provenance.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/generate_release_evidence.py	packaging/generate_release_evidence.py	build/release	Platform build, release identity or verification component: generate_release_evidence.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/generate_ui_tokens.py	packaging/generate_ui_tokens.py	build/release	Platform build, release identity or verification component: generate_ui_tokens.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/install_linux_source.py	packaging/install_linux_source.py	build/release	Platform build, release identity or verification component: install_linux_source.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/linux_gui_bootstrap.py	packaging/linux_gui_bootstrap.py	build/release	Platform build, release identity or verification component: linux_gui_bootstrap.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/make_release_zip.ps1	packaging/make_release_zip.ps1	build/release	Platform build, release identity or verification component: make_release_zip.ps1	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/pyi_rth_tcltk.py	packaging/pyi_rth_tcltk.py	build/release	Platform build, release identity or verification component: pyi_rth_tcltk.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/release_components.json	packaging/release_components.json	build/release	Platform build, release identity or verification component: release_components.json	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/release_inventory.json	packaging/release_inventory.json	build/release	Platform build, release identity or verification component: release_inventory.json	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/sign_release.ps1	packaging/sign_release.ps1	build/release	Platform build, release identity or verification component: sign_release.ps1	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/stage_linux_bundle.py	packaging/stage_linux_bundle.py	build/release	Platform build, release identity or verification component: stage_linux_bundle.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/verify_linux_cli_tar.py	packaging/verify_linux_cli_tar.py	build/release	Platform build, release identity or verification component: verify_linux_cli_tar.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/verify_locked_environment.py	packaging/verify_locked_environment.py	build/release	Platform build, release identity or verification component: verify_locked_environment.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/verify_macos_cli.sh	packaging/verify_macos_cli.sh	build/release	Platform build, release identity or verification component: verify_macos_cli.sh	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/verify_release_identity.py	packaging/verify_release_identity.py	build/release	Platform build, release identity or verification component: verify_release_identity.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/verify_source_distribution.py	packaging/verify_source_distribution.py	build/release	Platform build, release identity or verification component: verify_source_distribution.py	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
packaging/version_info.txt	packaging/version_info.txt	build/release	Platform build, release identity or verification component: version_info.txt	retain	Platform-specific pipelines and integrity contracts; spec and bootstrap pairs have different GUI/CLI consumers
primer_tool_gui.py	primer_tool_gui.py	application	Desktop entry, input, worker lifecycle and two-column interface	retain	Retain stable imports, CLI/GUI entry points and provenance consumers; no parallel implementation
pyproject.toml	pyproject.toml	build/release	Build-system and project metadata; invokes setup build hooks	retain	Distinct maintained contract; no relocation benefit
pytest.ini	pytest.ini	build/release	Test discovery, markers and warning configuration	retain	Distinct maintained contract; no relocation benefit
requirements-build.txt	requirements-build.txt	build/release	Hashed Windows release toolchain layered on runtime dependencies	retain	Distinct maintained contract; no relocation benefit
requirements-lock.txt	requirements-lock.txt	build/release	Hashed Windows scientific and GUI runtime dependencies	retain	Distinct maintained contract; no relocation benefit
requirements-targets/identity.json	requirements-targets/identity.json	build/release	Target-specific dependency or identity contract: identity.json	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/macos-14-arm64.txt	requirements-targets/macos-14-arm64.txt	build/release	Target-specific dependency or identity contract: macos-14-arm64.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/macos-primer3-build.txt	requirements-targets/macos-primer3-build.txt	build/release	Target-specific dependency or identity contract: macos-primer3-build.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/ubuntu-24.04-x86_64.txt	requirements-targets/ubuntu-24.04-x86_64.txt	build/release	Target-specific dependency or identity contract: ubuntu-24.04-x86_64.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/ubuntu-build-common.txt	requirements-targets/ubuntu-build-common.txt	build/release	Target-specific dependency or identity contract: ubuntu-build-common.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/ubuntu-source-build.txt	requirements-targets/ubuntu-source-build.txt	build/release	Target-specific dependency or identity contract: ubuntu-source-build.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-targets/windows-x86_64.txt	requirements-targets/windows-x86_64.txt	build/release	Target-specific dependency or identity contract: windows-x86_64.txt	retain	Different targets and build/runtime phases require separate locks; Windows CLI lock omits GUI dependencies
requirements-test.txt	requirements-test.txt	build/release	Hashed public test environment layered on build dependencies	retain	Distinct maintained contract; no relocation benefit
requirements.in	requirements.in	build/release	Human-maintained runtime dependency ranges	retain	Distinct maintained contract; no relocation benefit
requirements.txt	requirements.txt	build/release	Convenience entry delegating to the exact Windows runtime lock	retain	Distinct maintained contract; no relocation benefit
rnastructure_native/__init__.py	rnastructure_native/__init__.py	native integration	Runtime RNAstructure Python API, extension loading and parameter tables	retain	Runtime package is distinct from native build tooling
rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxial.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxial.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.coaxial.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxial.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxial.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.coaxial.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxstack.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxstack.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.coaxstack.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxstack.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.coaxstack.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.coaxstack.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.dangle.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.dangle.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.dangle.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.dangle.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.dangle.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.dangle.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.dynalignmiscloop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.dynalignmiscloop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.dynalignmiscloop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.dynalignmiscloop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.dynalignmiscloop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.dynalignmiscloop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.helix_ends.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.helix_ends.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.helix_ends.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.helix_ends.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.helix_ends.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.helix_ends.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.hexaloop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.hexaloop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.hexaloop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.hexaloop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.hexaloop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.hexaloop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int11.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.int11.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int11.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int11.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.int11.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int11.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int21.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.int21.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int21.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int21.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.int21.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int21.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int22.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.int22.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int22.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.int22.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.int22.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.int22.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.loop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.loop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.loop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.loop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.loop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.loop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.miscloop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.miscloop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.miscloop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.miscloop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.miscloop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.miscloop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.specification.dat	rnastructure_native/data_tables/enthalpy_as_dg/dna.specification.dat	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.specification.dat	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.stack.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.stack.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.stack.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.stack.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.stack.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.stack.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tloop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tloop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tloop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tloop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tloop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tloop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.triloop.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.triloop.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.triloop.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.triloop.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.triloop.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.triloop.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstack.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstack.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstack.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstack.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstack.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstack.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackcoax.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackcoax.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackcoax.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackcoax.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackcoax.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackcoax.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackh.dg	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackh.dg	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackh.dg	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackh.dh	rnastructure_native/data_tables/enthalpy_as_dg/dna.tstackh.dh	native integration	RNAstructure enthalpy-as-free-energy parameter table: dna.tstackh.dh	retain	Distinct enthalpy evaluation inputs; not duplicates of scaled tables
